name,price,original_price,cost,category,sub_category,icon,stock,sku,supplier_id,description,tags,brand,image_url,image_urls,is_b2b,moq,tax_mode
"Subag lo, ( butter ) 600ml",5.00,0.00,0.00,food,dairy,🍎,100,,9001,"Subag lo, ( butter ) 600ml. Available at Adeeg Market.",{},,https://cdn.shopify.com/s/files/1/0421/8653/9164/files/subaglo.jpg?v=1778996633,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/subaglo.jpg?v=1778996633""}",false,1,none
Saudia Milk Low Fat 1L,1.50,0.00,0.00,food,dairy,🍎,100,01-06-04-01-05,9001,Saudia Milk Low Fat 1L. Available at Adeeg Market.,"{""breakfast"",""breakfast_and_milk"",""caano"",""dairy"",""dairy_eggs"",""fresh_food"",""fresh_foods"",""long_life_milk"",""Low Fat"",""milk"",""milk_products"",""saudia"",""Saudia Milk"",""Saudia Milk Low Fat 1L"",""saudia_milk""}",saudia,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3627-01.jpg?v=1636963160,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3627-01.jpg?v=1636963160""}",false,1,none
Arjan Extra Virgin Olive Oil 5 liter,36.00,0.00,0.00,food,packaged,🍎,100,,9001,Arjan Extra Virgin Olive Oil 5 liter. Available at Adeeg Market.,{},,https://cdn.shopify.com/s/files/1/0421/8653/9164/files/arjan-extra-virgin-olive-oil-3-pet-5-ltr.webp?v=1774327322,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/arjan-extra-virgin-olive-oil-3-pet-5-ltr.webp?v=1774327322""}",false,1,none
Nadec Milk Full Fat 1L,1.70,0.00,0.00,food,dairy,🍎,100,242869,9001,Nadec Milk Full Fat 1L. Available at Adeeg Market.,"{""breakfast"",""breakfast_and_milk"",""caano"",""dairy"",""dairy_eggs"",""fresh_food"",""fresh_foods"",""fresh_milk"",""Full Fat 1L"",""long_life_milk"",""milk"",""milk_products"",""Nadec"",""Nadec Milk"",""Nadec Milk Full Fat""}",Safa,https://cdn.shopify.com/s/files/1/0421/8653/9164/files/6281057010011_bfd15e4c-43c1-4934-bb88-b6b82fe09299.png?v=1771848841,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/6281057010011_bfd15e4c-43c1-4934-bb88-b6b82fe09299.png?v=1771848841""}",false,1,none
PRIMO MAYONNAISE 345gr,1.25,0.00,0.00,clothes,mens,👕,100,268245,9001,PRIMO MAYONNAISE 345gr. Available at Adeeg Market.,"{""bisbaas"",""dressings"",""food_preparation"",""mayoonees"",""miinees"",""PRIMO MAYONNAISE"",""stock_and_mayonnaise""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/files/WhatsAppImage2026-02-23at11.32.55_2.png?v=1771847123,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/WhatsAppImage2026-02-23at11.32.55_2.png?v=1771847123""}",false,1,none
PRIMO MAYONNAISE 33Ogr,1.50,0.00,0.00,clothes,mens,👕,100,268258,9001,PRIMO MAYONNAISE 33Ogr. Available at Adeeg Market.,"{""bisbaas"",""dressings"",""food_preparation"",""mayoonees"",""miinees"",""PRIMO MAYONNAISE"",""stock_and_mayonnaise""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/files/WhatsAppImage2026-02-23at11.32.55_1.png?v=1771847053,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/WhatsAppImage2026-02-23at11.32.55_1.png?v=1771847053""}",false,1,none
PRIMO HOT KETCHUP 400ML,1.50,0.00,0.00,clothes,mens,👕,100,268231,9001,PRIMO HOT KETCHUP 400ML. Available at Adeeg Market.,"{""food_preparation"",""PRIMO HOT KETCHUP"",""sauce_and_dressings"",""tomato_chilli_sauce"",""tomato_ketchup"",""tomato_paste_sauce_ketchup"",""yaanyo""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/files/WhatsAppImage2026-02-23at11.32.56.png?v=1771847008,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/WhatsAppImage2026-02-23at11.32.56.png?v=1771847008""}",false,1,none
PRIMO KETCHUP MILD 400ML,1.50,0.00,0.00,clothes,mens,👕,100,268246,9001,PRIMO KETCHUP MILD 400ML. Available at Adeeg Market.,"{""food_preparation"",""sauce_and_dressings"",""tomato_chilli_sauce"",""tomato_ketchup"",""tomato_paste_sauce_ketchup"",""yaanyo""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/files/WhatsAppImage2026-02-23at11.32.56_1.png?v=1771846947,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/WhatsAppImage2026-02-23at11.32.56_1.png?v=1771846947""}",false,1,none
Sirma Water 500Ml,0.30,0.00,0.00,food,beverages,🍎,100,243553,9001,Sirma Water 500Ml. Available at Adeeg Market.,"{""biyo"",""cabitaan"",""cold_drinks"",""drinks"",""mineral_water"",""Sirma Water"",""water"",""weekend""}",Afi,https://cdn.shopify.com/s/files/1/0421/8653/9164/files/Sirmawater500.png?v=1770884988,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/Sirmawater500.png?v=1770884988"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/Sirmawater500ctn.png?v=1770884988""}",false,1,none
Sirma Water 330Ml,0.20,0.00,0.00,food,beverages,🍎,100,243552,9001,Sirma Water 330Ml. Available at Adeeg Market.,"{""biyo"",""cabitaan"",""cold_drinks"",""drinks"",""mineral_water"",""Sirma Water"",""water"",""weekend""}",Afi,https://cdn.shopify.com/s/files/1/0421/8653/9164/files/Sirmawater330.png?v=1770884772,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/Sirmawater330.png?v=1770884772"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/Sirmawater330ctn.png?v=1770884772""}",false,1,none
